# "CreateBonds.num_bonds" "Frame" "Timestep"
1792 0 0 
1088 1 100 
969 2 200 
977 3 300 
975 4 400 
964 5 500 
954 6 600 
961 7 700 
949 8 800 
945 9 900 
946 10 1000 
941 11 1100 
932 12 1200 
930 13 1300 
937 14 1400 
923 15 1500 
917 16 1600 
921 17 1700 
933 18 1800 
924 19 1900 
943 20 2000 
958 21 2100 
958 22 2200 
950 23 2300 
963 24 2400 
929 25 2500 
930 26 2600 
936 27 2700 
963 28 2800 
947 29 2900 
949 30 3000 
935 31 3100 
935 32 3200 
929 33 3300 
944 34 3400 
927 35 3500 
926 36 3600 
909 37 3700 
912 38 3800 
882 39 3900 
922 40 4000 
909 41 4100 
910 42 4200 
899 43 4300 
888 44 4400 
895 45 4500 
872 46 4600 
864 47 4700 
851 48 4800 
851 49 4900 
861 50 5000 
845 51 5100 
828 52 5200 
842 53 5300 
839 54 5400 
825 55 5500 
835 56 5600 
837 57 5700 
844 58 5800 
816 59 5900 
829 60 6000 
821 61 6100 
817 62 6200 
845 63 6300 
831 64 6400 
824 65 6500 
801 66 6600 
801 67 6700 
839 68 6800 
796 69 6900 
811 70 7000 
812 71 7100 
766 72 7200 
784 73 7300 
807 74 7400 
786 75 7500 
801 76 7600 
795 77 7700 
815 78 7800 
774 79 7900 
809 80 8000 
801 81 8100 
807 82 8200 
808 83 8300 
765 84 8400 
811 85 8500 
772 86 8600 
784 87 8700 
766 88 8800 
789 89 8900 
777 90 9000 
795 91 9100 
806 92 9200 
776 93 9300 
796 94 9400 
787 95 9500 
783 96 9600 
761 97 9700 
778 98 9800 
761 99 9900 
777 100 10000 
778 101 10100 
723 102 10200 
785 103 10300 
766 104 10400 
754 105 10500 
734 106 10600 
767 107 10700 
727 108 10800 
726 109 10900 
765 110 11000 
764 111 11100 
744 112 11200 
760 113 11300 
759 114 11400 
717 115 11500 
750 116 11600 
725 117 11700 
742 118 11800 
746 119 11900 
743 120 12000 
748 121 12100 
761 122 12200 
743 123 12300 
773 124 12400 
704 125 12500 
728 126 12600 
762 127 12700 
748 128 12800 
732 129 12900 
740 130 13000 
723 131 13100 
724 132 13200 
729 133 13300 
737 134 13400 
698 135 13500 
727 136 13600 
729 137 13700 
687 138 13800 
726 139 13900 
677 140 14000 
717 141 14100 
698 142 14200 
724 143 14300 
676 144 14400 
707 145 14500 
715 146 14600 
701 147 14700 
694 148 14800 
716 149 14900 
700 150 15000 
697 151 15100 
670 152 15200 
687 153 15300 
694 154 15400 
677 155 15500 
